// Kanji maximiser -- use this to replace common phrases with their respective kanji,,,,,,,,,,,,
new_display_form,new_basic_form,basic_form,conjugated_form,pos,pos_detail_1,pos_detail_2,pronunciation,reading,surface_form,word_id,word_position,word_type
如何,如何,どう,,副詞,助詞類接続,,,,,,,
迄,迄,まで,,助詞,副助詞,,,,,,,
御座る,御座る,ござる,,助動詞,,,,,,,,
お早う,お早う,おはよう,,感動詞,,,,,,,,
今晩は,今晩は,こんばんは,,感動詞,,,,,,,,
今日は,今日は,こんにちは,,感動詞,,,,,,,,
否,否,いや,,接続詞,,,,,,,,
又,又,また,,接続詞,,,,,,,,
// Verbs,,,,,,,,,,,,
為る,為る,する,,動詞,自立,,,,,,,
分かる,分かる,わかる,,動詞,自立,,,,,,,
有る,有る,ある,,動詞,自立,,,,,,,
有る,有る,ある,,助動詞,,,,,,,,
居る,居る,いる,,動詞,自立,,,,,,,
居る,居る,いる,,動詞,非自立,,,,,,,
下さる,下さる,くださる,,動詞,非自立,,,,,,,
// Adjectives,,,,,,,,,,,,
良い,良い,いい,,形容詞,自立,,,,,,,
無い,無い,ない,,形容詞,自立,,,ナイ,,,,
無し,無し,なし,,形容詞,自立,,,ナシ,,,,
// Nouns,,,,,,,,,,,,
珈琲,珈琲,コーヒー,,名詞,一般,,,,,,,
繋ぎ,繋ぎ,つなぎ,,名詞,一般,,,,,,,
如何,如何,いかが,,名詞,形容動詞語幹,,,,,,,
物,物,もの,,名詞,非自立,一般,,,,,,
事,事,こと,,名詞,非自立,一般,,,,,,
// Pronouns,,,,,,,,,,,,
此れ,此れ,これ,,名詞,代名詞,一般,,,,,,
其れ,其れ,それ,,名詞,代名詞,一般,,,,,,
彼,彼,あれ,,名詞,代名詞,一般,,,,,,
何処,何処,どこ,,名詞,代名詞,一般,,,,,,
何れ,何れ,どれ,,名詞,代名詞,一般,,,,,,
貴方,貴方,あんた,,名詞,代名詞,一般,,,,,,
貴方,貴方,あなた,,名詞,代名詞,一般,,,,,,
君,君,きみ,,名詞,代名詞,一般,,,,,,
// Suffixes,,,,,,,,,,,,
達,,たち,,名詞,接尾,一般,,タチ,,,,
// Adnominal,,,,,,,,,,,,
此の,此の,この,,連体詞,,,,,,,,
其の,其の,その,,連体詞,,,,,,,,
彼の,彼の,あの,,連体詞,,,,,,,,
何の,何の,どの,,連体詞,,,,,,,,
