// Auxiliary verbs,,,,,,,,,,,
new_display_form,new_han_reading,basic_form,conjugated_form,pos,pos_detail_1,pronunciation,reading,surface_form,word_id,word_position,word_type
是,ゼ,です,,助動詞,,,,です,,,
是,ゼ,です,,助動詞,,,,だ,,,
,,です,,助動詞,,,,でし,,,
了,リョウ,た,,助動詞,,,,,,,
ま,,ます,,助動詞,,,,まし,,,
ま,,ます,,助動詞,,,,ます,,,
ま,,ます,,助動詞,,,,ませ,,,
ま,,ます,,助動詞,,,,ましょ,,,
る,,る,,助動詞,,,,,,,
さ,,させる,,助動詞,,,,,,,
不,ブ,ん,,助動詞,,,,,,,
不,ブ,ない,,助動詞,,,,,,,
// Non-independent verbs,,,,,,,,,,,
请,セイ,くださる,,動詞,非自立,,,,,,
请,セイ,下さる,,動詞,非自立,,,,,,
い,,いる,,動詞,非自立,,,,,,
あ,,ある,,動詞,非自立,,,,,,
// Suffixes,,,,,,,,,,,
れ,,れる,,動詞,接尾,,,,,,
せ,,せる,,,,,,,,,
ら,,られる,,動詞,接尾,,,,,,
