// Particles only,,,,,,,,,,,
new_display_form,basic_form,conjugated_form,pos,pos_detail_1,pos_detail_2,pronunciation,reading,surface_form,word_id,word_position,word_type
,を,,助詞,格助詞,,,,,,,
已,と,,助詞,格助詞,,,,,,,
加,が,,助詞,格助詞,,,,,,,
仁,に,,助詞,格助詞,,,,,,,
仁,へ,,助詞,格助詞,,,,,,,
在,で,,助詞,格助詞,,,,,,,
从,から,,助詞,格助詞,,,,,,,
乃,の,,助詞,格助詞,,,,,,,
已為,として,,助詞,格助詞,連語,,,,,,
,の,,助詞,連体化,,,,,,,
同,と,,助詞,並立助詞,,,,,,,
也,や,,助詞,並立助詞,,,,,,,
于,は,,助詞,係助詞,,,,,,,
加,が,,助詞,係助詞,,,,,,,
還,も,,助詞,係助詞,,,,,,,
,が,,助詞,接続助詞,,,,,,,
,て,,助詞,接続助詞,,,,,,,
以,ば,,助詞,接続助詞,,,,,,,
从,から,,助詞,接続助詞,,,,,,,
几,か,,助詞,副助詞／並立助詞／終助詞,,,,,,,
// Final particles,,,,,,,,,,,
呢,ね,,助詞,終助詞,,,,,,,
叮,よ,,助詞,終助詞,,,,,,,
不,な,,助詞,終助詞,,,,,,,
